video_name,bonafide_or_pa,type,subset
26.02.19/1_01_0064_0000_00_00_000-48a8d5a0,0,bonafide,train
26.02.19/1_01_0064_0000_00_00_000-daacc8f3,0,bonafide,train
28.02.19/1_01_0064_0038_06_01_013-7119b679,1,attack/Flexiblemask,train
28.02.19/1_01_0064_0038_06_01_013-68dc779e,1,attack/Flexiblemask,train
05.03.19/1_02_0064_0000_00_00_000-a7f4a187,0,bonafide,train
05.03.19/1_02_0064_0000_00_00_000-a2f0681f,0,bonafide,train
07.03.19/1_02_0064_0022_06_01_013-53d41785,1,attack/Flexiblemask,train
07.03.19/1_02_0064_0022_06_01_013-350e698f,1,attack/Flexiblemask,train
11.03.19/1_03_0064_0000_00_00_000-93614d91,0,bonafide,train
11.03.19/1_03_0064_0000_00_00_000-67f9e77e,0,bonafide,train
11.03.19/1_03_0064_0018_06_01_013-1f774ad3,1,attack/Flexiblemask,train
11.03.19/1_03_0064_0018_06_01_013-ba5b7d09,1,attack/Flexiblemask,train
13.03.19/1_01_0064_0000_00_00_000-979157ba,0,bonafide,train
13.03.19/1_01_0064_0000_00_00_000-b112ebe7,0,bonafide,train
22.03.19/1_01_0064_0000_00_00_000-7fc66fa3,0,bonafide,train
22.03.19/1_01_0064_0000_00_00_000-8b82d679,0,bonafide,train
27.03.19/1_01_0064_0000_00_00_000-dabdf3a9,0,bonafide,train
27.03.19/1_01_0064_0000_00_00_000-faa04dbe,0,bonafide,train
02.04.19/1_03_0064_0000_06_01_013-bcb4077e,1,attack/Flexiblemask,train
02.04.19/1_03_0064_0000_06_01_013-e3a1456b,1,attack/Flexiblemask,train
02.04.19/1_02_0064_0000_06_01_013-4f318fb3,1,attack/Flexiblemask,train
02.04.19/1_02_0064_0000_06_01_013-5904657f,1,attack/Flexiblemask,train
02.04.19/1_01_0064_0000_06_01_013-55ad4f6f,1,attack/Flexiblemask,train
02.04.19/1_01_0064_0000_06_01_013-f49577be,1,attack/Flexiblemask,train
26.02.19/1_01_0001_0064_04_02_001-993c6db5,1,attack/Replay,train
26.02.19/1_01_0001_0064_04_02_001-bc25a12c,1,attack/Replay,train
26.02.19/1_01_0001_0076_05_03_007-d3aba6df,1,attack/Rigidmask,train
26.02.19/1_01_0001_0076_05_03_007-de24bc42,1,attack/Rigidmask,train
26.02.19/1_01_0001_0076_07_00_001-f694da08,1,attack/Papermask,train
26.02.19/1_01_0001_0076_07_00_001-c5ffdf70,1,attack/Papermask,train
26.02.19/1_01_0001_0022_06_01_001-6a6172f3,1,attack/Flexiblemask,train
26.02.19/1_01_0001_0022_06_01_001-b709ca72,1,attack/Flexiblemask,train
26.02.19/1_01_0001_0018_03_01_001-9f851a75,1,attack/Print,train
26.02.19/1_01_0001_0018_03_01_001-2535e9ed,1,attack/Print,train
28.02.19/1_01_0001_0002_05_03_001-9bbeb19c,1,attack/Rigidmask,train
28.02.19/1_01_0001_0002_05_03_001-404d371a,1,attack/Rigidmask,train
28.02.19/1_01_0001_0089_07_00_001-27206fd3,1,attack/Papermask,train
28.02.19/1_01_0001_0089_07_00_001-f3b9f66a,1,attack/Papermask,train
27.02.19/1_01_0001_0062_03_03_001-2ab8d905,1,attack/Print,train
27.02.19/1_01_0001_0062_03_03_001-00f47ac7,1,attack/Print,train
27.02.19/1_01_0001_0014_03_02_001-47d4dbbe,1,attack/Print,train
27.02.19/1_01_0001_0014_03_02_001-16062cfa,1,attack/Print,train
27.02.19/1_01_0001_0030_03_00_001-cde3b702,1,attack/Print,train
27.02.19/1_01_0001_0030_03_00_001-47f6b9a0,1,attack/Print,train
01.03.19/1_01_0001_0000_00_00_000-241b2419,0,bonafide,train
01.03.19/1_01_0001_0000_00_00_000-c8d47dce,0,bonafide,train
01.03.19/1_01_0001_0000_00_01_000-e2548832,0,bonafide,train
01.03.19/1_01_0001_0000_00_01_000-ff703650,0,bonafide,train
06.03.19/1_02_0001_0082_05_03_001-2d47b557,1,attack/Rigidmask,train
06.03.19/1_02_0001_0082_05_03_001-f67ca2db,1,attack/Rigidmask,train
06.03.19/1_02_0001_0081_06_01_001-1692ca3e,1,attack/Flexiblemask,train
06.03.19/1_02_0001_0081_06_01_001-7e62ef6f,1,attack/Flexiblemask,train
06.03.19/1_01_0001_0081_07_00_001-40e670cf,1,attack/Papermask,train
06.03.19/1_01_0001_0081_07_00_001-2ba0b6cd,1,attack/Papermask,train
06.03.19/1_02_0001_0029_03_01_001-d9628ad5,1,attack/Print,train
06.03.19/1_02_0001_0029_03_01_001-016dfe78,1,attack/Print,train
05.03.19/1_02_0001_0062_05_03_007-c8a37f4a,1,attack/Rigidmask,train
05.03.19/1_02_0001_0062_05_03_007-327cb87f,1,attack/Rigidmask,train
05.03.19/1_02_0001_0007_07_00_001-1e6238f1,1,attack/Papermask,train
05.03.19/1_02_0001_0007_07_00_001-e912a956,1,attack/Papermask,train
05.03.19/1_02_0001_0018_07_00_001-da661893,1,attack/Papermask,train
05.03.19/1_02_0001_0018_07_00_001-2639fcaf,1,attack/Papermask,train
05.03.19/1_02_0001_0077_03_02_001-a02a2ec4,1,attack/Print,train
05.03.19/1_02_0001_0077_03_02_001-5c1ba5d8,1,attack/Print,train
05.03.19/1_02_0001_0088_03_03_001-8334d613,1,attack/Print,train
05.03.19/1_02_0001_0088_03_03_001-ffcdc7ee,1,attack/Print,train
05.03.19/1_02_0001_0078_04_02_001-0008f8c8,1,attack/Replay,train
05.03.19/1_02_0001_0078_04_02_001-1ccc016b,1,attack/Replay,train
07.03.19/1_02_0001_0092_07_00_001-79b7cbe1,1,attack/Papermask,train
07.03.19/1_02_0001_0092_07_00_001-0269b3ec,1,attack/Papermask,train
08.03.19/1_02_0001_0000_00_00_000-e78024c0,0,bonafide,train
08.03.19/1_02_0001_0000_00_00_000-e449bdc3,0,bonafide,train
08.03.19/1_02_0001_0000_00_01_000-1beadb73,0,bonafide,train
08.03.19/1_02_0001_0000_00_01_000-713f4786,0,bonafide,train
11.03.19/1_03_0001_0000_00_00_000-a992d9a9,0,bonafide,train
11.03.19/1_03_0001_0000_00_00_000-687093bc,0,bonafide,train
11.03.19/1_03_0001_0000_00_01_000-bb52d756,0,bonafide,train
11.03.19/1_03_0001_0000_00_01_000-ce927e4e,0,bonafide,train
11.03.19/1_03_0001_0080_03_03_001-b0b92c26,1,attack/Print,train
11.03.19/1_03_0001_0080_03_03_001-44a12e01,1,attack/Print,train
11.03.19/1_03_0001_0071_05_03_007-e484c248,1,attack/Rigidmask,train
11.03.19/1_03_0001_0071_05_03_007-52fc8573,1,attack/Rigidmask,train
11.03.19/1_02_0001_0071_03_00_001-da23d517,1,attack/Print,train
11.03.19/1_02_0001_0071_03_00_001-39cd3469,1,attack/Print,train
11.03.19/1_03_0001_0038_03_02_001-6ade7ec0,1,attack/Print,train
11.03.19/1_03_0001_0038_03_02_001-0e6060a1,1,attack/Print,train
12.03.19/1_03_0001_0079_05_03_001-ab4fbde5,1,attack/Rigidmask,train
12.03.19/1_03_0001_0079_05_03_001-0884f27b,1,attack/Rigidmask,train
12.03.19/1_03_0001_0029_03_00_001-ee437503,1,attack/Print,train
12.03.19/1_03_0001_0029_03_00_001-09bf37f2,1,attack/Print,train
12.03.19/1_03_0001_0029_07_00_001-300a6ac8,1,attack/Papermask,train
12.03.19/1_03_0001_0029_07_00_001-395839a5,1,attack/Papermask,train
12.03.19/1_03_0001_0014_07_00_001-b293eb0d,1,attack/Papermask,train
12.03.19/1_03_0001_0014_07_00_001-3e1c82fa,1,attack/Papermask,train
12.03.19/1_03_0001_0083_06_01_001-2d10e5a7,1,attack/Flexiblemask,train
12.03.19/1_03_0001_0083_06_01_001-5546f926,1,attack/Flexiblemask,train
15.03.19/1_03_0001_0004_03_01_001-0ba2171a,1,attack/Print,train
15.03.19/1_03_0001_0004_03_01_001-5e83b936,1,attack/Print,train
15.03.19/1_03_0001_0006_04_02_001-38dfbb30,1,attack/Replay,train
15.03.19/1_03_0001_0006_04_02_001-80427b1a,1,attack/Replay,train
15.03.19/1_03_0001_0002_07_00_001-8f3cb93e,1,attack/Papermask,train
15.03.19/1_03_0001_0002_07_00_001-f80e415e,1,attack/Papermask,train
15.03.19/1_03_0001_0087_07_00_001-719c8093,1,attack/Papermask,train
15.03.19/1_03_0001_0087_07_00_001-9e97561a,1,attack/Papermask,train
20.03.19/1_03_0001_0034_07_00_001-19473ab6,1,attack/Papermask,train
20.03.19/1_03_0001_0034_07_00_001-b13234dd,1,attack/Papermask,train
27.03.19/1_01_0001_0000_03_00_001-c5707cef,1,attack/Print,train
27.03.19/1_01_0001_0000_03_00_001-1436a06b,1,attack/Print,train
27.03.19/1_02_0001_0000_03_00_001-fb1ae928,1,attack/Print,train
27.03.19/1_02_0001_0000_03_00_001-2ee1c3a8,1,attack/Print,train
27.03.19/1_03_0001_0000_03_00_001-852b11b5,1,attack/Print,train
27.03.19/1_03_0001_0000_03_00_001-035bc733,1,attack/Print,train
28.03.19/1_01_0001_0000_03_01_001-d2cd3569,1,attack/Print,train
28.03.19/1_01_0001_0000_03_01_001-f8a29a82,1,attack/Print,train
28.03.19/1_02_0001_0000_03_01_001-a349a173,1,attack/Print,train
